,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Burberry Make up,Burberry Face (01205),BEYOND RADIANCE BASE (00006033),P_US_ALL_OTHERS,100.0,84.23697270471465,3.232009925558313,0.5024813895781638,0.0,83.04590570719603,0.22952853598014888,0.09925558312655086,0.5831265508684864,0.38461538461538464,12.59305210918114,0.9181141439205955,0.0,0.0,0.0,2.481389578163772,0.0,14.968982630272954
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Blush (00006342),P_US_ALL_OTHERS,100.0,0.0,3.4782608695652173,93.04347826086956,62.46376811594203,66.95652173913044,106.81159420289855,40.0,28.840579710144926,14.927536231884059,11.014492753623188,92.31884057971016,,,,,,
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Loose Powder (00006341),P_US_ALL_OTHERS,100.0,11.875,204.37500000000003,1.875,72.5,19.375,10.9375,42.5,,,,,,,,,,
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Perfecting Mtt Foun (00006068),P_US_ALL_OTHERS,100.0,0.0,18.250950570342205,51.33079847908745,0.0,85.93155893536122,4752.851711026616,0.0,39.543726235741445,0.7604562737642585,247.14828897338404,3169.9619771863117,289.5437262357414,6.844106463878327,179.46768060836501,5.7034220532319395,257.22433460076047,130.0380228136882
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Radiance Primer (00006888),P_US_ALL_OTHERS,100.0,913.2743362831858,0.0,2222.566371681416,248.4513274336283,211.94690265486727,129.42477876106196,950.2212389380531,269.0265486725664,441.8141592920354,2258.185840707965,2520.353982300885,64.38053097345133,,,,,
Burberry Make up,Burberry Lips (01204),Burberry Brit Shine (00006037),P_US_ALL_OTHERS,100.0,0.0,69.83606557377048,93.44262295081968,0.0,125.9016393442623,0.0,0.0,74.75409836065575,5.901639344262295,88.52459016393442,251.14754098360655,81.9672131147541,2.2950819672131146,235.08196721311475,35.40983606557377,372.1311475409836,25.245901639344265
Burberry Make up,Burberry Lips (01204),Burberry Kisses Reno (00005785),P_US_ALL_OTHERS,100.0,0.0,37.278106508875744,82.24852071005917,0.0,193.19526627218934,0.0,0.0,88.46153846153845,54.437869822485204,86.09467455621301,307.396449704142,148.5207100591716,205.9171597633136,2626.6272189349115,47.337278106508876,432.84023668639054,53.84615384615385
Gucci,Flora by Gucci (00837),Flora by Gucci EDP (00003439),P_US_ALL_OTHERS,100.0,196.72131147540983,16.39344262295082,111.8032786885246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gucci,Gucci Bloom (01043),Gucci Bloom Ambrosia dOro (00006855),P_US_ALL_OTHERS,100.0,11.933395004625346,357.4005550416281,16.27701623076276,147.96905222437138,22.340425531914892,9.208645193844085,15.650491968715835,,,,,,,,,,
Gucci,Gucci Bloom (01043),Gucci Bloom Ambrosia dOro (00006855),P_US_ULTA,100.0,11.69070975187536,0.0,32.33698788228506,0.0,0.2423542989036353,12.914021927293708,0.13848817080207732,,,,,,,,,,
