House,Brand,PL,CFG,a12,a6,ap12,c12,cfwd,cuts,e6,ep6,last_cons,cut_rate,fwd_vs_run,epos_g,sellin_g,flag
Gucci,Gucci Bloom (01043),Gucci Bloom Ambrosia dOro (00006855),P_US_ULTA,40896.0,11862.0,0.0,261.0,261.0,0.0,4262.0,0.0,2026.M08,0.0,0.006382042253521127,,,HORIZON-CLIFF
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid Intense (00007099),P_US_ULTA,57524.0,57524.0,0.0,15291.0,15291.0,0.0,2684.0,0.0,2026.M08,0.0,0.26581948404144357,,,HORIZON-CLIFF
Kylie Jenner Fragrances,Cosmic Kylie Jenner (01246),Cosmic Kylie Jenner INTENSE (00007045),P_US_ULTA,299097.0,247914.0,0.0,15840.0,15840.0,687.0,99689.0,17485.0,2026.M08,0.002291649987991354,0.052959407817530765,4.701401201029454,,HORIZON-CLIFF
Kylie Jenner Fragrances,Kylie Jenner Mood Stones (01396),Kylie Jenner Mood Stones (00007046),P_US_ULTA,414978.0,414978.0,0.0,48793.0,48793.0,0.0,106.0,0.0,2026.M08,0.0,0.1175797271180641,,,HORIZON-CLIFF
Kylie Makeup,Collection (01319),Kylie Holiday (00006439),P_US_ALL_OTHERS,25122.0,39.0,8089.0,25000.0,25000.0,0.0,1525.0,19936.0,2026.M10,0.0,0.9951436987500996,-0.9235052166934189,-0.9903572753121523,HORIZON-CLIFF
Kylie Makeup,Face (01243),Face Multi (00006011),P_US_ULTA,20320.0,19240.0,1009.0,5107.0,5107.0,0.0,4989.0,213.0,2026.M08,0.0,0.2513287401574803,22.422535211267604,37.136769078295345,HORIZON-CLIFF
Kylie Makeup,Face (01243),Kylie Supple Primer (00006890),P_US_ULTA,29335.0,29335.0,0.0,2460.0,2460.0,0.0,1586.0,0.0,2026.M08,0.0,0.0838588716550196,,,HORIZON-CLIFF
Kylie Makeup,Lips (01245),Kylie Plumping Matte Lip Kit (00006788),P_US_ULTA,55632.0,55632.0,0.0,15024.0,15024.0,0.0,160.0,0.0,2026.M08,0.0,0.270060396893874,,,HORIZON-CLIFF
