House,PL,CFG,sellin_g,epos_g,gap,vol
Gucci Make up,Gucci Mascara Ultra Volume (00006080),P_US_ALL_OTHERS,0.7165476963011032,-0.38682784493538974,1.103375541236493,13226.0
Gucci Make up,Gucci Multidimensional Mascara (00005647),P_US_ALL_OTHERS,-0.6009614257240005,-0.13473267761964944,-0.466228748104351,17017.0
Gucci Make up,Gucci Beauty Powder No Talc (00007041),P_US_ALL_OTHERS,-0.4583574320416426,-0.15986739110415324,-0.2984900409374893,9365.0
Gucci Make up,Gucci Blush Powder (00006171),P_US_ALL_OTHERS,-0.5066603609994482,-0.4298192063864757,-0.07684115461297253,12518.0
Gucci Make up,Gucci Cream (00006636),P_US_ALL_OTHERS,-0.8932473690196044,-0.3312448171012623,-0.5620025519183421,12203.0
Gucci Make up,Gucci Face Bronzing Powder (00005685),P_US_ALL_OTHERS,0.06710937774498436,0.2084791565144199,-0.14136977876943552,30371.0
Gucci Make up,Gucci Face Concealer (00005677),P_US_ALL_OTHERS,-0.536673472593058,-0.21124426313105557,-0.3254292094620024,5900.0
Gucci Make up,Gucci Face Liquid Primer (00005678),P_US_ALL_OTHERS,0.5139500734214391,-0.147117296222664,0.6610673696441031,11341.0
Gucci Make up,Gucci Glow Blush (00007042),P_US_ALL_OTHERS,-0.4701781564678544,0.9837636412030876,-1.453941797670942,8892.0
Gucci Make up,Gucci Highlighting Powder (00006538),P_US_ALL_OTHERS,-0.506806390301536,-0.2934708836704222,-0.21333550663111378,9601.0
Gucci Make up,Gucci Matt Foundation (00006173),P_US_ALL_OTHERS,-0.3031636287450241,0.08714822980158216,-0.39031185854660627,9978.0
Gucci Make up,Gucci Lip Balm Pot (00005668),P_US_ALL_OTHERS,-0.5485186775440103,-0.3294216261525566,-0.2190970513914537,2103.0
Gucci Make up,Gucci Lip Gloss (00005667),P_US_ALL_OTHERS,9.34105582985188,-0.5516443987667009,9.892700228618581,81684.0
Gucci Make up,Gucci Matte Lipstick (00005663),P_US_ALL_OTHERS,-0.15448357502219592,-0.41005304629963435,0.25556947127743845,62854.0
Gucci Make up,Gucci Matte lip liquid (00005670),P_US_ALL_OTHERS,-0.48662170981074615,-0.47022666154437187,-0.01639504826637428,4720.0
Gucci Make up,Gucci Satin Lipstick (00005660),P_US_ALL_OTHERS,-0.2908924763935425,-0.44565091833198567,0.15475844193844318,6984.0
Gucci Make up,Gucci Sheer Lipstick (00005661),P_US_ALL_OTHERS,-0.3007135575942915,-0.3618791946308725,0.061165637036580955,3430.0
Gucci Make up,Gucci Shine lipstick (00005671),P_US_ALL_OTHERS,-0.35378400555450357,-0.35243831358072664,-0.0013456919737769302,20476.0
Gucci Make up,Gucci Color Multiline (00005687),P_US_ALL_OTHERS,-0.9509188870027309,-0.967269595176572,0.0163507081738411,665.0
Gucci Make up,Gucci Nail Polish (00005688),P_US_ALL_OTHERS,-0.3478865406006674,-0.44960585585585583,0.1017193152551884,2345.0
Kylie Jenner Fragrances,Cosmic Kylie Jenner (00006014),P_US_ALL_OTHERS,-0.7772600286919286,-0.5066995968886617,-0.27056043180326683,20650.0
Kylie Jenner Fragrances,Cosmic Kylie Jenner (00006014),P_US_ULTA,-0.645952051923047,-0.3544422025709034,-0.29150984935214364,91207.0
Kylie Jenner Fragrances,Cosmic Kylie Jenner FLANKER (00006785),P_US_ALL_OTHERS,-0.8858576526638045,-0.4254041570438799,-0.46045349561992455,6301.0
Kylie Jenner Fragrances,Cosmic Kylie Jenner FLANKER (00006785),P_US_ULTA,-0.8751129041970254,0.04759651778955337,-0.9227094219865788,6222.0
Kylie Jenner Fragrances,Cosmic Kylie Jenner INTENSE (00007045),P_US_ULTA,3.8436785651485845,4.701401201029454,-0.8577226358808696,247914.0
Kylie Jenner Fragrances,Kylie Jenner Mist Collection (00007114),P_US_ALL_OTHERS,-0.4018179554227369,-0.17079443171018058,-0.23102352371255633,19216.0
Kylie Makeup,Kylie Holiday (00006439),P_US_ALL_OTHERS,-0.9984451620619543,-0.9235052166934189,-0.07493994536853543,39.0
Kylie Makeup,Kylie Holiday (00006439),P_US_ULTA,-1.0,-1.0,0.0,0.0
Kylie Makeup,Kylie Summer (00006440),P_US_ULTA,-0.7566710571247378,-0.5786038182710914,-0.1780672388536464,9976.0
Kylie Makeup,Kylie Gel Pencil (00006114),P_US_ALL_OTHERS,-0.296730112249878,-0.36260762607626074,0.06587751382638274,2882.0
