House,PL,CFG,cuts,actuals,rate,months
Gucci,Gucci Guilty Limited Editions M (00007089),P_US_ALL_OTHERS,8310.0,211486.0,0.03780778540100821,10
Gucci,Gucci Bloom EDP (00004476),P_US_ALL_OTHERS,6216.0,429393.0,0.014269677623740557,15
Gucci Make up,Gucci Glow Blush (00007042),P_US_ALL_OTHERS,5689.0,25675.0,0.18138630276750414,3
Gucci,Gucci Guilty Limited Editions F (00007090),P_US_ALL_OTHERS,5359.0,183422.0,0.028387390680206164,11
Gucci Make up,Gucci Sheer Lipstick (00005661),P_US_ALL_OTHERS,4523.0,74303.0,0.05737954482023698,18
Gucci,Gucci Luxury Collection (00004823),P_US_ALL_OTHERS,4489.0,338422.0,0.013090860310692861,16
Gucci,Gucci Guilty PH NEW 22 (00006019),P_US_ALL_OTHERS,4028.0,47034.0,0.07888449336101211,16
Gucci,Gucci Flora Gorgeous Magnolia (00006454),P_US_ULTA,3979.0,118931.0,0.03237328126271256,4
Gucci,Gucci Flora Gorgeous Orchid (00006613),P_US_ALL_OTHERS,3878.0,618440.0,0.006231540787828731,9
Kylie Makeup,Kylie Velvet Lip Kit (00006095),P_US_ALL_OTHERS,3688.0,14765.0,0.19985910150111094,10
Gucci Make up,Gucci Multidimensional Mascara (00005647),P_US_ALL_OTHERS,3635.0,98040.0,0.03575116793705434,5
Gucci Make up,Gucci Setting Spray (00005881),P_US_ALL_OTHERS,3597.0,9213.0,0.28079625292740046,10
Gucci,Gucci Guilty PH NEW 22 (00006019),P_US_ULTA,3586.0,13749.0,0.20686472454571675,12
Kylie Makeup,Kylie Supple Kiss Precision Lip Kit (00007015),P_US_ALL_OTHERS,3321.0,36022.0,0.08441145820095061,8
Gucci Make up,Gucci Beauty Powder No Talc (00007041),P_US_ALL_OTHERS,3240.0,33444.0,0.08832188420019627,5
Gucci Make up,Gucci Lip Balm Pot (00005668),P_US_ALL_OTHERS,2963.0,11600.0,0.20346082537938612,6
Kylie Makeup,Kylie E/S Palette (00006116),P_US_ALL_OTHERS,2859.0,10003.0,0.2222826932047893,12
Gucci,Gucci Flora Gorgeous Gardenia Intense (00007022),P_US_ULTA,2606.0,165791.0,0.015475335071289868,2
Gucci Make up,Gucci Brow Pen (00005650),P_US_ALL_OTHERS,2600.0,9241.0,0.21957604932015878,18
Gucci,Gucci Oud Intense (00003457),P_US_ALL_OTHERS,2329.0,16480.0,0.12382370141953321,7
Gucci Make up,Gucci Multi Usage Gloss (00005676),P_US_ALL_OTHERS,2264.0,3880.0,0.3684895833333333,7
Gucci Make up,Gucci Face Compact Primer (00005682),P_US_ALL_OTHERS,2075.0,2101.0,0.49688697318007663,2
Gucci,Gucci Guilty Pour Homme (00003463),P_US_ULTA,2024.0,75077.0,0.026251280787538425,6
