House,Brand,PL,CFG,vol,age,active,cv,trend,rep_yoy,conc,cut_rate,epos,archetype,score,band
Gucci,Gucci Bloom (01043),Gucci Bloom EDP (00004476),P_US_ALL_OTHERS,259967.0,36,1.0,0.6595288654063367,-0.17447993572828052,0.021088974042607112,0.2878705121068745,0.014978023643528342,True,MODERATE,70,GOOD
Gucci,Gucci Bloom (01043),Gucci Bloom EDP (00004476),P_US_ULTA,38897.0,36,1.0,1.2814479489511224,-0.38647297275982273,0.4580891321295868,0.45417220614686793,0.17817451933234735,True,LUMPY / EVENT-DRIVEN,70,GOOD
Gucci,Gucci Bloom (01043),Gucci Bloom EDP Intense (00006292),P_US_ALL_OTHERS,52229.0,36,1.0,0.8218689828263509,-0.46357520669645147,0.06329390510594624,0.3541051111675602,0.1949162992878503,True,DECLINING,70,GOOD
Gucci,Gucci Bloom (01043),Gucci Bloom EDP Intense (00006292),P_US_ULTA,10323.0,36,0.9583333333333334,1.0093776263072256,0.2041292429721218,0.03705024824238884,0.3968035563082134,0.3731479232450814,True,LUMPY / EVENT-DRIVEN,60,GOOD
Gucci,Gucci Bloom (01043),Gucci Bloom EDT (00005943),P_US_ALL_OTHERS,42217.0,36,1.0,0.7515870446266243,-0.044972288202692,0.44459760161568285,0.3205665224132744,0.49624122953558303,True,MODERATE,80,HIGH
Gucci,Gucci Bloom (01043),Gucci Bloom EDT (00005943),P_US_ULTA,53383.0,36,0.9583333333333334,1.9548999941041916,3.8179602888086643,-0.2327589028786672,0.7075066317112142,0.18365880140076155,True,LUMPY / EVENT-DRIVEN,45,FAIR
Gucci,Gucci Flora (01228),Flora Gorgeous Jasmine  (00005984),P_US_ALL_OTHERS,55812.0,36,1.0,0.6809486339114198,-0.38451019530431524,0.2115711472790737,0.30582083540968386,0.2594440390101506,True,DECLINING,70,GOOD
Gucci,Gucci Flora (01228),Flora Gorgeous Jasmine  (00005984),P_US_ULTA,31263.0,36,1.0,1.3120960130181665,0.09105186012424095,0.40661706222276883,0.45526311397433117,0.2906541419916956,True,LUMPY / EVENT-DRIVEN,60,GOOD
Gucci,Gucci Flora (01228),Gorgeous Gardenia (00005915),P_US_ALL_OTHERS,979060.0,36,1.0,0.6095210745955244,-0.17921658970721877,0.6082276710771063,0.2780925053501641,0.016329536537752445,True,MODERATE,90,HIGH
Gucci,Gucci Flora (01228),Gorgeous Gardenia (00005915),P_US_ULTA,506313.0,36,1.0,0.9330203015899003,0.9410492821407349,0.03748130377441339,0.35780504146473086,0.013054326426385451,True,MODERATE,60,GOOD
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Gardenia Intense (00007022),P_US_ALL_OTHERS,638007.0,16,0.6666666666666666,1.2622773623072916,1.7013705706265163,0.19240643784596304,0.44539605987741737,0.014607739414485725,True,LUMPY / EVENT-DRIVEN,35,LOW
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Gardenia Intense (00007022),P_US_ULTA,86962.0,15,0.625,2.0710305379094116,0.10317269025358687,-0.21713188091933672,0.7158892822891472,0.02909521257591997,True,LUMPY / EVENT-DRIVEN,20,LOW
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Magnolia (00006454),P_US_ALL_OTHERS,68802.0,36,1.0,0.8218263123933917,-0.7455895458091903,0.3421007566075255,0.32834962961216135,0.10825103040671903,True,DECLINING,80,HIGH
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Magnolia (00006454),P_US_ULTA,47184.0,36,1.0,1.444754302463632,-0.5072064168442161,-0.17903622292749014,0.5251588167800073,0.076163997337197,True,LUMPY / EVENT-DRIVEN,45,FAIR
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid (00006613),P_US_ALL_OTHERS,320539.0,26,1.0,0.7215246179516639,-0.5313846374264817,0.20708279024014561,0.2871518846212043,0.010159683042593468,True,DECLINING,70,GOOD
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid (00006613),P_US_ULTA,67080.0,25,1.0,0.863425074421366,-0.5332006513479284,0.48431242578799955,0.3530235029556604,0.12126491740571414,True,DECLINING,80,HIGH
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid Intense (00007099),P_US_ALL_OTHERS,257929.0,3,0.125,3.468998459193716,,,1.0,1.1630972504380999e-05,True,NEW / LAUNCH,10,LOW
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid Intense (00007099),P_US_ULTA,57524.0,3,0.125,3.4013772231725263,,,1.0,0.0,True,NEW / LAUNCH,10,LOW
Gucci,Gucci Fragrance Other Lines (00845),Gucci Fragrance Other Lines (00003485),P_US_ULTA,2275.0,1,0.041666666666666664,4.79583152331272,,,1.0,0.0,False,NEW / LAUNCH,0,LOW
Gucci,Gucci Guilty (00840),Gucci Guilty Absolute Pour Femme (00004475),P_US_ALL_OTHERS,173.0,36,0.9583333333333334,2.7267678952971752,-0.8628072957969866,0.6107941356819326,0.7140864714086471,0.20642201834862386,True,LUMPY / EVENT-DRIVEN,70,GOOD
