House,Brand,PL,CFG,a12,a6,ap12,c12,cfwd,cuts,e6,ep6,last_cons,cut_rate,fwd_vs_run,epos_g,sellin_g
Kylie Makeup,Lips (01245),Kylie Precision Pout Lip Liner (00006731),P_US_ALL_OTHERS,16010.0,10521.0,18028.0,73970.65037593985,115972.65037593985,849.0,5795.0,5981.0,2029.M07,0.050358858769796545,4.620277974762014,-0.031098478515298445,0.16718437985356113
Kylie Makeup,Lips (01245),Kylie Precision Pout Lip Liner (00006731),P_US_ULTA,165880.0,105757.0,136683.0,124103.0242652084,373388.0242652084,25717.0,64311.0,52853.0,2029.M07,0.13422443983987223,0.7481494108102749,0.2167899646188485,0.5474784720850435
Kylie Makeup,Lips (01245),Kylie Supple Kiss Lip Glaze (00006711),P_US_ALL_OTHERS,63416.0,28537.0,16046.0,14998.545597400029,37627.54559740003,481.0,3102.0,5006.0,2029.M07,0.00752773995649248,0.23651043265737398,-0.3803435876947663,2.5568989156175994
Kylie Makeup,Lips (01245),Kylie Supple Kiss Lip Glaze (00006711),P_US_ULTA,127649.0,61480.0,109486.0,46496.642254956096,90538.6422549561,0.0,18204.0,39079.0,2029.M07,0.0,0.3642538700260566,-0.5341743647483304,0.1230659627714959
Kylie Makeup,Lips (01245),Kylie Supple Kiss Precision Lip Kit (00007015),P_US_ALL_OTHERS,27064.0,13043.0,8958.0,34661.59349177551,126437.59349177551,3321.0,9683.0,10677.0,2029.M07,0.10929735066644726,1.2807269247626185,-0.09309731197902033,1.9120339361464613
Kylie Makeup,Lips (01245),Kylie Supple Kiss Precision Lip Kit (00007015),P_US_ULTA,255592.0,139482.0,61392.0,262824.18162144953,777198.1816214495,162008.0,79469.0,99587.0,2029.M07,0.38795019157088123,1.0282958058994394,-0.2020143191380401,3.5439796716184517
Kylie Makeup,Lips (01245),Kylie Tinted butter balm (00006700),P_US_ALL_OTHERS,6521.0,3142.0,16385.0,9693.35913312693,34484.35913312693,0.0,3668.0,4219.0,2029.M07,0.0,1.4864835352134536,-0.13059966816781227,-0.6164784864205065
Kylie Makeup,Lips (01245),Kylie Tinted butter balm (00006700),P_US_ULTA,63602.0,18929.0,105830.0,52378.38847070693,213664.38847070694,1024.0,19261.0,49632.0,2029.M07,0.015845015937857827,0.8235336698642641,-0.6119237588652482,-0.6422753472550317
Kylie Makeup,Lips (01245),Kylie Transformative Lip Tint (00006724),P_US_ALL_OTHERS,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,
Kylie Makeup,Lips (01245),Kylie Transformative Lip Tint (00006724),P_US_ULTA,896.0,896.0,4224.0,1098.0,2545.0,0.0,1526.0,4863.0,2028.M06,0.0,1.2254464285714286,-0.6862019329631914,-0.5757575757575758
Kylie Makeup,Lips (01245),Kylie Velvet Lip Kit (00006095),P_US_ALL_OTHERS,9396.0,4557.0,10658.0,9597.5,28505.5,1238.0,3210.0,5424.0,2029.M07,0.11641903328944894,1.0214452958705833,-0.4081858407079646,-0.1448677050103209
Kylie Makeup,Lips (01245),Kylie Velvet Lip Kit (00006095),P_US_ULTA,58442.0,24404.0,72084.0,48012.04474411069,167524.0447441107,15220.0,26794.0,36570.0,2029.M07,0.20661942385490484,0.8215332251481928,-0.2673229423024337,-0.3229010598745908
Kylie Makeup,Lips (01245),Lips Multi (00006013),P_US_ALL_OTHERS,2763.0,1533.0,15683.0,107430.4999999999,170805.49999999988,367.0,1324.0,2056.0,2029.M07,0.11725239616613418,38.88183134274336,-0.3560311284046693,-0.8045016897277306
Kylie Makeup,Lips (01245),Lips Multi (00006013),P_US_ULTA,145978.0,144196.0,75486.0,57711.99999999999,111022.99999999978,597.0,54348.0,6025.0,2029.M07,0.004073000170561146,0.3953472441052761,8.020414937759336,2.8204700209310336
